m	skills	        qno	seed
4	2,3,14,24,	422	seed=95
4	13,20,22,25,	189	seed=96
4	0,18,23,26,	357	seed=97
4	8,12,19,21,	595	seed=98
4	3,4,14,22,	295	seed=99
4	12,20,25,26,	179	seed=100
6	0,1,4,10,23,24,	420	seed=1
6	1,6,14,16,21,22,	418	seed=2
6	2,10,12,15,17,23,	387	seed=3
6	3,6,17,18,24,26,	521	seed=4
6	0,8,9,20,25,26,	701	seed=5
6	6,16,17,20,22,25,	425	seed=6
6	4,5,10,11,12,25,	676	seed=7
6	1,6,15,19,22,23,	511	seed=8
6	0,1,9,12,17,25,	471	seed=9
6	0,7,11,20,21,23,	478	seed=10
6	0,4,7,10,12,13,	436	seed=11
6	3,7,15,16,21,26,	435	seed=12
6	0,1,4,6,16,25,	419	seed=13
6	2,5,7,19,20,25,	795	seed=14
6	0,3,4,13,14,15,	408	seed=15
6	0,3,11,13,15,19,	495	seed=16
6	1,14,15,20,22,25,	264	seed=17
6	0,2,4,7,14,15,	500	seed=18
6	0,6,12,14,17,25,	476	seed=19
6	1,6,7,10,17,19,	585	seed=20
6	16,17,20,21,22,25,	294	seed=21
6	2,5,6,13,16,24,	728	seed=22
6	8,11,12,16,18,20,	716	seed=23
6	0,1,9,18,19,23,	645	seed=24
6	15,18,20,21,23,25,	339	seed=25
6	5,6,7,15,18,20,	810	seed=26
6	6,7,12,16,19,23,	625	seed=27
6	0,2,12,16,18,21,	466	seed=28
6	0,10,12,22,23,26,	402	seed=29
6	4,6,7,13,16,20,	514	seed=30
6	1,9,12,16,21,26,	427	seed=31
6	1,9,10,14,18,20,	505	seed=32
6	3,4,12,15,24,26,	354	seed=33
6	5,6,13,15,24,26,	692	seed=34
6	3,12,13,14,17,18,	406	seed=35
6	0,11,16,20,21,24,	397	seed=36
6	5,7,11,17,19,26,	773	seed=37
6	4,5,13,15,19,26,	682	seed=38
6	6,7,13,15,16,19,	579	seed=39
6	12,17,19,20,24,26,	436	seed=40
6	6,7,10,12,19,26,	581	seed=41
6	7,8,17,22,23,25,	729	seed=42
6	3,9,13,15,18,19,	590	seed=43
6	0,11,12,19,21,26,	455	seed=44
6	1,6,9,14,21,26,	530	seed=45
6	0,1,3,7,20,22,	454	seed=46
6	5,12,13,17,19,20,	719	seed=47
6	3,5,7,11,14,21,	768	seed=48
6	1,6,17,24,25,26,	335	seed=49
6	0,2,4,7,18,20,	505	seed=50
6	2,5,13,14,16,17,	709	seed=51
6	6,7,8,13,20,25,	732	seed=52
6	1,8,19,20,23,26,	665	seed=53
6	4,5,6,9,21,22,	771	seed=54
6	1,7,10,12,16,20,	411	seed=55
6	9,10,11,12,20,21,	466	seed=56
6	2,10,15,22,24,26,	368	seed=57
6	5,7,8,9,11,21,	918	seed=58
6	4,9,14,17,20,23,	506	seed=59
6	2,8,12,15,16,20,	657	seed=60
6	1,2,4,12,21,26,	269	seed=61
6	3,5,7,11,13,23,	783	seed=62
6	0,11,14,16,19,20,	515	seed=63
6	0,5,12,18,20,22,	737	seed=64
6	1,5,7,13,22,24,	751	seed=65
6	3,4,8,10,17,23,	740	seed=66
6	3,4,11,14,19,24,	545	seed=67
6	2,7,18,21,22,23,	472	seed=68
6	0,7,10,12,17,23,	487	seed=69
6	5,6,7,10,13,21,	781	seed=70
6	5,6,7,13,18,25,	800	seed=71
6	1,9,16,19,21,26,	516	seed=72
6	0,5,10,13,14,15,	690	seed=73
6	4,6,7,8,9,24,	799	seed=74
6	0,9,12,13,19,22,	581	seed=75
6	1,3,10,11,21,22,	318	seed=76
6	0,11,12,15,17,26,	336	seed=77
6	0,5,6,7,10,26,	793	seed=78
6	11,14,15,16,17,26,	294	seed=79
6	1,4,13,15,19,23,	394	seed=80
6	1,8,10,19,23,24,	676	seed=81
6	1,4,7,20,22,24,	397	seed=82
6	4,12,13,17,21,22,	206	seed=83
6	6,13,15,19,22,25,	463	seed=84
6	1,9,17,22,25,26,	338	seed=85
6	1,6,7,12,19,24,	562	seed=86
6	3,7,13,19,20,25,	538	seed=87
6	0,9,13,15,18,20,	529	seed=88
6	1,2,7,10,25,26,	399	seed=89
6	2,6,7,11,19,26,	635	seed=90
6	0,4,14,22,23,24,	456	seed=91
6	3,11,13,16,17,20,	377	seed=92
6	0,1,3,5,11,24,	724	seed=93
6	1,2,5,8,11,16,	835	seed=94
6	0,2,3,14,17,24,	482	seed=95
6	13,16,20,22,24,25,	326	seed=96
6	0,7,18,19,23,26,	598	seed=97
6	8,12,13,18,19,21,	675	seed=98
6	3,4,6,10,14,22,	541	seed=99
6	12,17,20,21,25,26,	221	seed=100
8	0,1,4,9,10,18,23,24,	640	seed=1
8	0,1,6,14,16,21,22,26,	487	seed=2
8	2,5,10,12,15,16,17,23,	739	seed=3
8	3,6,8,12,17,18,24,26,	783	seed=4
8	0,2,8,9,15,20,25,26,	716	seed=5
8	4,5,6,16,17,20,22,25,	743	seed=6
8	4,5,10,11,12,14,24,25,	736	seed=7
8	1,6,13,15,19,22,23,24,	546	seed=8
8	0,1,9,11,12,17,22,25,	520	seed=9
8	0,7,10,11,16,20,21,23,	555	seed=10
8	0,4,6,7,10,12,13,20,	553	seed=11
8	3,5,7,15,16,20,21,26,	772	seed=12
8	0,1,4,6,16,18,21,25,	509	seed=13
8	2,5,7,16,19,20,25,26,	808	seed=14
8	0,3,4,13,14,15,16,17,	476	seed=15
8	0,3,11,13,14,15,19,20,	550	seed=16
8	1,8,14,15,19,20,22,25,	672	seed=17
8	0,2,4,7,12,14,15,18,	556	seed=18
8	0,3,6,12,14,17,19,25,	640	seed=19
8	1,2,6,7,10,17,19,22,	640	seed=20
8	12,15,16,17,20,21,22,25,	351	seed=21
8	2,5,6,13,16,18,24,25,	780	seed=22
8	8,11,12,13,14,16,18,20,	751	seed=23
8	0,1,2,9,11,18,19,23,	679	seed=24
8	15,18,19,20,21,23,25,26,	496	seed=25
8	5,6,7,9,15,18,20,24,	875	seed=26
8	6,7,12,16,18,19,23,24,	676	seed=27
8	0,2,6,12,16,18,21,22,	566	seed=28
8	0,3,8,10,12,22,23,26,	765	seed=29
8	2,4,6,7,13,16,18,20,	618	seed=30
8	1,5,9,12,16,21,25,26,	732	seed=31
8	1,9,10,14,15,18,20,25,	526	seed=32
8	3,4,12,13,15,21,24,26,	383	seed=33
8	5,6,11,13,15,18,24,26,	754	seed=34
8	3,8,12,13,14,17,18,21,	791	seed=35
8	0,6,11,16,20,21,22,24,	500	seed=36
8	5,7,11,16,17,19,22,26,	798	seed=37
8	1,4,5,13,15,19,20,26,	703	seed=38
8	6,7,13,14,15,16,19,20,	661	seed=39
8	1,12,14,17,19,20,24,26,	499	seed=40
8	4,6,7,10,12,19,24,26,	604	seed=41
8	7,8,10,17,22,23,24,25,	774	seed=42
8	3,9,13,15,18,19,22,26,	599	seed=43
8	0,6,11,12,19,21,25,26,	558	seed=44
8	1,4,6,9,14,15,21,26,	562	seed=45
8	0,1,3,6,7,20,21,22,	588	seed=46
8	0,5,8,12,13,17,19,20,	835	seed=47
8	0,3,5,7,11,14,15,21,	798	seed=48
8	1,4,6,17,21,24,25,26,	373	seed=49
8	0,2,4,7,11,18,20,25,	535	seed=50
8	2,5,13,14,16,17,21,25,	715	seed=51
8	5,6,7,8,13,20,22,25,	904	seed=52
8	1,3,8,12,19,20,23,26,	749	seed=53
8	3,4,5,6,9,18,21,22,	837	seed=54
8	0,1,6,7,10,12,16,20,	561	seed=55
8	2,4,9,10,11,12,20,21,	509	seed=56
8	2,8,10,15,19,22,24,26,	668	seed=57
8	1,5,7,8,9,11,21,26,	919	seed=58
8	4,6,9,14,16,17,20,23,	669	seed=59
8	2,7,8,12,14,15,16,20,	780	seed=60
8	1,2,4,5,12,17,21,26,	691	seed=61
8	3,5,6,7,11,12,13,23,	844	seed=62
8	0,10,11,14,16,19,20,26,	535	seed=63
8	0,2,5,12,17,18,20,22,	770	seed=64
8	1,5,7,8,13,22,24,25,	885	seed=65
8	3,4,8,10,13,17,23,26,	745	seed=66
8	2,3,4,11,14,19,22,24,	596	seed=67
8	1,2,7,9,18,21,22,23,	605	seed=68
8	0,4,7,10,12,17,18,23,	538	seed=69
8	4,5,6,7,10,13,21,23,	806	seed=70
8	1,5,6,7,13,14,18,25,	814	seed=71
8	1,4,9,10,16,19,21,26,	561	seed=72
8	0,5,10,11,13,14,15,26,	706	seed=73
8	0,3,4,6,7,8,9,24,	849	seed=74
8	0,7,9,12,13,19,20,22,	675	seed=75
8	1,3,10,11,12,18,21,22,	434	seed=76
8	0,8,11,12,15,17,19,26,	694	seed=77
8	0,5,6,7,9,10,16,26,	850	seed=78
8	2,11,12,14,15,16,17,26,	442	seed=79
8	1,3,4,7,13,15,19,23,	584	seed=80
8	1,8,9,10,19,23,24,25,	764	seed=81
8	0,1,3,4,7,20,22,24,	520	seed=82
8	4,6,12,13,17,18,21,22,	477	seed=83
8	6,8,13,14,15,19,22,25,	694	seed=84
8	1,4,9,15,17,22,25,26,	379	seed=85
8	1,6,7,8,12,14,19,24,	764	seed=86
8	1,3,7,13,14,19,20,25,	585	seed=87
8	0,9,13,15,16,18,20,26,	566	seed=88
8	1,2,7,10,13,15,25,26,	425	seed=89
8	2,6,7,11,13,19,22,26,	658	seed=90
8	0,4,10,14,19,22,23,24,	591	seed=91
8	3,8,11,13,16,17,20,24,	730	seed=92
8	0,1,3,5,11,19,23,24,	795	seed=93
8	1,2,5,7,8,11,16,21,	906	seed=94
8	0,2,3,14,15,17,21,24,	501	seed=95
8	3,9,13,16,20,22,24,25,	529	seed=96
8	0,1,7,12,18,19,23,26,	611	seed=97
8	1,5,8,12,13,18,19,21,	847	seed=98
8	3,4,6,9,10,14,22,25,	646	seed=99
8	8,12,17,19,20,21,25,26,	647	seed=100
10	0,1,4,9,10,14,16,18,23,24,	696	seed=1
10	0,1,3,6,10,14,16,21,22,26,	572	seed=2
10	2,3,5,10,12,15,16,17,21,23,	769	seed=3
10	3,6,8,12,17,18,19,21,24,26,	802	seed=4
10	0,1,2,6,8,9,15,20,25,26,	748	seed=5
10	4,5,6,13,16,17,20,22,25,26,	747	seed=6
10	4,5,8,10,11,12,14,20,24,25,	865	seed=7
10	1,6,8,10,13,15,19,22,23,24,	729	seed=8
10	0,1,9,11,12,17,18,20,22,25,	584	seed=9
10	0,4,7,10,11,15,16,20,21,23,	571	seed=10
10	0,4,6,7,8,10,12,13,20,26,	761	seed=11
10	1,3,5,7,15,16,20,21,24,26,	792	seed=12
10	0,1,4,5,6,13,16,18,21,25,	779	seed=13
10	2,4,5,7,16,17,19,20,25,26,	818	seed=14
10	0,3,4,13,14,15,16,17,18,24,	580	seed=15
10	0,2,3,11,13,14,15,18,19,20,	635	seed=16
10	0,1,3,8,14,15,19,20,22,25,	741	seed=17
10	0,2,4,7,12,14,15,18,20,23,	614	seed=18
10	0,3,6,7,12,14,17,19,23,25,	756	seed=19
10	1,2,6,7,8,10,15,17,19,22,	788	seed=20
10	11,12,15,16,17,18,20,21,22,25,	449	seed=21
10	2,5,6,8,11,13,16,18,24,25,	895	seed=22
10	8,10,11,12,13,14,16,18,20,24,	769	seed=23
10	0,1,2,6,9,11,18,19,23,24,	759	seed=24
10	4,5,15,18,19,20,21,23,25,26,	774	seed=25
10	0,5,6,7,9,15,18,20,24,26,	885	seed=26
10	6,7,9,12,16,18,19,23,24,26,	787	seed=27
10	0,2,6,11,12,16,17,18,21,22,	597	seed=28
10	0,3,8,10,12,21,22,23,25,26,	774	seed=29
10	2,4,6,7,12,13,16,18,19,20,	698	seed=30
10	0,1,5,9,12,16,17,21,25,26,	767	seed=31
10	1,5,9,10,14,15,18,20,22,25,	782	seed=32
10	0,3,4,12,13,15,17,21,24,26,	458	seed=33
10	5,6,9,11,13,15,16,18,24,26,	822	seed=34
10	3,8,12,13,14,16,17,18,21,23,	840	seed=35
10	0,6,10,11,16,19,20,21,22,24,	601	seed=36
10	4,5,7,11,12,16,17,19,22,26,	806	seed=37
10	0,1,2,4,5,13,15,19,20,26,	751	seed=38
10	5,6,7,10,13,14,15,16,19,20,	844	seed=39
10	1,10,12,14,17,19,20,24,25,26,	529	seed=40
10	2,4,6,7,10,12,19,24,25,26,	650	seed=41
10	7,8,10,14,16,17,22,23,24,25,	812	seed=42
10	0,3,9,13,15,18,19,20,22,26,	651	seed=43
10	0,3,6,11,12,15,19,21,25,26,	628	seed=44
10	1,4,6,9,13,14,15,18,21,26,	643	seed=45
10	0,1,3,6,7,8,12,20,21,22,	821	seed=46
10	0,5,8,10,12,13,17,19,20,22,	846	seed=47
10	0,3,5,7,11,14,15,17,20,21,	811	seed=48
10	1,2,4,6,17,18,21,24,25,26,	539	seed=49
10	0,2,4,7,10,11,18,20,24,25,	602	seed=50
10	2,5,7,9,13,14,16,17,21,25,	839	seed=51
10	1,5,6,7,8,10,13,20,22,25,	908	seed=52
10	1,3,6,8,12,17,19,20,23,26,	798	seed=53
10	3,4,5,6,9,13,18,21,22,23,	865	seed=54
10	0,1,2,6,7,10,12,16,20,25,	601	seed=55
10	2,4,9,10,11,12,19,20,21,25,	611	seed=56
10	2,6,8,10,15,19,22,23,24,26,	754	seed=57
10	1,2,5,7,8,9,11,14,21,26,	938	seed=58
10	4,6,9,12,13,14,16,17,20,23,	691	seed=59
10	2,7,8,9,12,14,15,16,19,20,	845	seed=60
10	0,1,2,4,5,11,12,17,21,26,	734	seed=61
10	3,5,6,7,11,12,13,21,23,25,	845	seed=62
10	0,3,5,10,11,14,16,19,20,26,	785	seed=63
10	0,2,5,8,9,12,17,18,20,22,	925	seed=64
10	1,5,7,8,13,15,18,22,24,25,	913	seed=65
10	1,3,4,8,10,13,14,17,23,26,	781	seed=66
10	2,3,4,8,11,14,19,22,23,24,	828	seed=67
10	0,1,2,7,9,18,21,22,23,26,	667	seed=68
10	0,1,4,7,10,12,13,17,18,23,	549	seed=69
10	1,4,5,6,7,10,13,16,21,23,	815	seed=70
10	1,5,6,7,12,13,14,18,21,25,	820	seed=71
10	1,4,9,10,12,15,16,19,21,26,	580	seed=72
10	0,1,5,10,11,13,14,15,19,26,	749	seed=73
10	0,3,4,6,7,8,9,11,22,24,	880	seed=74
10	0,4,7,9,10,12,13,19,20,22,	684	seed=75
10	1,2,3,6,10,11,12,18,21,22,	627	seed=76
10	0,3,8,11,12,15,17,18,19,26,	794	seed=77
10	0,5,6,7,9,10,13,16,23,26,	877	seed=78
10	2,11,12,14,15,16,17,21,24,26,	496	seed=79
10	1,2,3,4,7,13,15,19,21,23,	634	seed=80
10	1,3,6,8,9,10,19,23,24,25,	822	seed=81
10	0,1,3,4,7,20,21,22,24,26,	529	seed=82
10	0,4,6,9,12,13,17,18,21,22,	671	seed=83
10	6,7,8,13,14,15,18,19,22,25,	804	seed=84
10	1,4,9,15,17,18,19,22,25,26,	582	seed=85
10	1,6,7,8,10,12,14,17,19,24,	790	seed=86
10	1,3,7,12,13,14,19,20,25,26,	598	seed=87
10	0,2,4,9,13,15,16,18,20,26,	607	seed=88
10	1,2,7,10,11,13,14,15,25,26,	498	seed=89
10	2,5,6,7,11,13,19,22,25,26,	854	seed=90
10	0,4,5,10,14,17,19,22,23,24,	802	seed=91
10	3,8,11,13,16,17,18,20,23,24,	824	seed=92
10	0,1,3,4,5,11,19,22,23,24,	818	seed=93
10	1,2,5,7,8,11,14,16,21,24,	921	seed=94
10	0,2,3,8,14,15,17,18,21,24,	819	seed=95
10	3,9,10,13,16,19,20,22,24,25,	625	seed=96
10	0,1,2,7,12,18,19,22,23,26,	657	seed=97
10	1,5,8,12,13,14,16,18,19,21,	874	seed=98
10	3,4,6,9,10,14,21,22,25,26,	654	seed=99
10	1,8,10,12,17,19,20,21,25,26,	663	seed=100
12	0,1,4,5,9,10,11,14,16,18,23,24,	858	seed=1
12	0,1,3,6,10,12,14,16,21,22,25,26,	605	seed=2
12	2,3,5,8,10,12,15,16,17,20,21,23,	898	seed=3
12	3,6,7,8,12,17,18,19,21,22,24,26,	862	seed=4
12	0,1,2,6,8,9,15,17,20,21,25,26,	773	seed=5
12	0,4,5,6,13,15,16,17,20,22,25,26,	760	seed=6
12	4,5,8,10,11,12,14,15,20,24,25,26,	866	seed=7
12	1,6,8,10,11,13,14,15,19,22,23,24,	783	seed=8
12	0,1,7,8,9,11,12,17,18,20,22,25,	866	seed=9
12	0,4,7,10,11,12,15,16,18,20,21,23,	614	seed=10
12	0,4,5,6,7,8,10,12,13,17,20,26,	914	seed=11
12	0,1,3,5,7,8,15,16,20,21,24,26,	926	seed=12
12	0,1,3,4,5,6,13,16,18,21,25,26,	811	seed=13
12	2,3,4,5,7,9,16,17,19,20,25,26,	873	seed=14
12	0,3,4,5,11,13,14,15,16,17,18,24,	817	seed=15
12	0,2,3,4,11,13,14,15,18,19,20,24,	687	seed=16
12	0,1,3,8,14,15,18,19,20,22,24,25,	809	seed=17
12	0,1,2,4,7,12,14,15,18,20,23,26,	614	seed=18
12	0,3,6,7,9,12,14,17,19,23,25,26,	825	seed=19
12	1,2,6,7,8,10,13,15,17,19,22,24,	796	seed=20
12	2,6,11,12,15,16,17,18,20,21,22,25,	611	seed=21
12	2,4,5,6,8,11,13,16,18,19,24,25,	902	seed=22
12	0,8,10,11,12,13,14,15,16,18,20,24,	787	seed=23
12	0,1,2,3,4,6,9,11,18,19,23,24,	799	seed=24
12	4,5,15,18,19,20,21,22,23,24,25,26,	811	seed=25
12	0,5,6,7,8,9,15,18,20,24,25,26,	968	seed=26
12	2,6,7,9,12,16,18,19,20,23,24,26,	814	seed=27
12	0,2,6,11,12,15,16,17,18,21,22,24,	620	seed=28
12	0,3,8,10,12,13,15,21,22,23,25,26,	781	seed=29
12	2,4,6,7,12,13,16,18,19,20,21,24,	713	seed=30
12	0,1,2,5,9,12,16,17,20,21,25,26,	783	seed=31
12	0,1,2,5,9,10,14,15,18,20,22,25,	813	seed=32
12	0,3,4,12,13,15,17,20,21,24,25,26,	477	seed=33
12	4,5,6,9,11,13,15,16,18,22,24,26,	843	seed=34
12	2,3,8,12,13,14,16,17,18,19,21,23,	865	seed=35
12	0,6,10,11,14,16,17,19,20,21,22,24,	648	seed=36
12	4,5,7,11,12,13,14,16,17,19,22,26,	822	seed=37
12	0,1,2,4,5,13,15,17,19,20,23,26,	787	seed=38
12	5,6,7,10,13,14,15,16,19,20,22,25,	854	seed=39
12	1,5,9,10,12,14,17,19,20,24,25,26,	825	seed=40
12	2,3,4,6,7,10,12,19,20,24,25,26,	708	seed=41
12	7,8,9,10,14,16,17,20,22,23,24,25,	889	seed=42
12	0,3,7,9,13,15,16,18,19,20,22,26,	749	seed=43
12	0,3,6,11,12,15,18,19,21,22,25,26,	681	seed=44
12	1,4,6,9,13,14,15,16,18,21,22,26,	675	seed=45
12	0,1,2,3,6,7,8,12,17,20,21,22,	843	seed=46
12	0,5,8,9,10,12,13,17,19,20,22,26,	884	seed=47
12	0,1,3,5,7,11,14,15,17,19,20,21,	853	seed=48
12	1,2,4,6,9,13,17,18,21,24,25,26,	666	seed=49
12	0,2,4,7,10,11,13,18,20,22,24,25,	616	seed=50
12	2,4,5,7,9,13,14,16,17,21,22,25,	848	seed=51
12	1,5,6,7,8,9,10,11,13,20,22,25,	953	seed=52
12	1,2,3,5,6,8,12,17,19,20,23,26,	914	seed=53
12	2,3,4,5,6,9,13,14,18,21,22,23,	890	seed=54
12	0,1,2,6,7,10,11,12,16,20,25,26,	632	seed=55
12	0,2,4,9,10,11,12,19,20,21,23,25,	698	seed=56
12	2,6,8,10,15,17,18,19,22,23,24,26,	806	seed=57
12	0,1,2,5,7,8,9,11,14,21,24,26,	959	seed=58
12	3,4,6,9,12,13,14,16,17,20,23,26,	719	seed=59
12	2,7,8,9,11,12,14,15,16,19,20,22,	869	seed=60
12	0,1,2,4,5,6,11,12,13,17,21,26,	784	seed=61
12	2,3,5,6,7,11,12,13,18,21,23,25,	886	seed=62
12	0,3,5,10,11,13,14,16,19,20,25,26,	793	seed=63
12	0,2,5,8,9,12,17,18,20,22,23,25,	947	seed=64
12	1,5,7,8,13,15,18,19,20,22,24,25,	923	seed=65
12	0,1,3,4,8,10,13,14,17,21,23,26,	803	seed=66
12	2,3,4,5,8,11,14,19,22,23,24,26,	923	seed=67
12	0,1,2,7,9,12,16,18,21,22,23,26,	705	seed=68
12	0,1,4,7,9,10,12,13,17,18,23,26,	678	seed=69
12	0,1,4,5,6,7,10,13,16,19,21,23,	861	seed=70
12	1,5,6,7,12,13,14,15,18,21,23,25,	836	seed=71
12	0,1,4,9,10,12,15,16,19,21,24,26,	640	seed=72
12	0,1,5,10,11,13,14,15,19,21,25,26,	753	seed=73
12	0,3,4,6,7,8,9,10,11,21,22,24,	890	seed=74
12	0,3,4,7,9,10,12,13,17,19,20,22,	714	seed=75
12	1,2,3,6,10,11,12,17,18,19,21,22,	707	seed=76
12	0,3,8,10,11,12,14,15,17,18,19,26,	824	seed=77
12	0,5,6,7,9,10,13,15,16,22,23,26,	882	seed=78
12	2,11,12,14,15,16,17,18,21,22,24,26,	555	seed=79
12	1,2,3,4,7,12,13,14,15,19,21,23,	673	seed=80
12	1,3,6,7,8,9,10,12,19,23,24,25,	896	seed=81
12	0,1,3,4,7,10,16,20,21,22,24,26,	576	seed=82
12	0,4,6,9,12,13,14,17,18,19,21,22,	770	seed=83
12	0,3,6,7,8,13,14,15,18,19,22,25,	882	seed=84
12	1,4,9,12,15,17,18,19,22,24,25,26,	648	seed=85
12	1,5,6,7,8,10,12,14,17,18,19,24,	939	seed=86
12	1,3,4,7,9,12,13,14,19,20,25,26,	694	seed=87
12	0,2,4,9,13,15,16,17,18,20,24,26,	644	seed=88
12	1,2,6,7,10,11,13,14,15,17,25,26,	634	seed=89
12	2,5,6,7,9,11,13,19,21,22,25,26,	898	seed=90
12	0,3,4,5,10,14,17,19,20,22,23,24,	838	seed=91
12	3,4,6,8,11,13,16,17,18,20,23,24,	855	seed=92
12	0,1,3,4,5,7,11,19,22,23,24,26,	877	seed=93
12	1,2,3,5,7,8,11,14,15,16,21,24,	948	seed=94
12	0,2,3,8,9,14,15,17,18,21,23,24,	890	seed=95
12	3,7,9,10,13,15,16,19,20,22,24,25,	725	seed=96
12	0,1,2,5,7,12,14,18,19,22,23,26,	871	seed=97
12	1,5,6,8,12,13,14,16,18,19,21,24,	891	seed=98
12	0,3,4,6,9,10,14,18,21,22,25,26,	722	seed=99
12	1,2,5,8,10,12,17,19,20,21,25,26,	844	seed=100
14	0,1,4,5,9,10,11,12,14,15,16,18,23,24,	867	seed=1
14	0,1,3,6,8,10,12,14,16,19,21,22,25,26,	803	seed=2
14	2,3,4,5,8,10,12,15,16,17,20,21,23,25,	902	seed=3
14	2,3,4,6,7,8,12,17,18,19,21,22,24,26,	875	seed=4
14	0,1,2,6,8,9,10,13,15,17,20,21,25,26,	780	seed=5
14	0,4,5,6,13,14,15,16,17,20,21,22,25,26,	783	seed=6
14	3,4,5,8,10,11,12,14,15,20,21,24,25,26,	896	seed=7
14	1,2,3,6,8,10,11,13,14,15,19,22,23,24,	855	seed=8
14	0,1,3,7,8,9,10,11,12,17,18,20,22,25,	892	seed=9
14	0,4,7,9,10,11,12,15,16,17,18,20,21,23,	729	seed=10
14	0,4,5,6,7,8,10,12,13,17,20,22,23,26,	940	seed=11
14	0,1,3,5,7,8,15,16,19,20,21,24,25,26,	929	seed=12
14	0,1,3,4,5,6,9,13,16,18,19,21,25,26,	878	seed=13
14	2,3,4,5,7,9,12,13,16,17,19,20,25,26,	879	seed=14
14	0,3,4,5,9,11,13,14,15,16,17,18,22,24,	862	seed=15
14	0,2,3,4,11,12,13,14,15,18,19,20,22,24,	703	seed=16
14	0,1,3,8,13,14,15,16,18,19,20,22,24,25,	820	seed=17
14	0,1,2,3,4,5,7,12,14,15,18,20,23,26,	861	seed=18
14	0,3,4,6,7,9,11,12,14,17,19,23,25,26,	837	seed=19
14	1,2,6,7,8,9,10,11,13,15,17,19,22,24,	873	seed=20
14	2,6,11,12,13,15,16,17,18,19,20,21,22,25,	684	seed=21
14	0,1,2,4,5,6,8,11,13,16,18,19,24,25,	911	seed=22
14	0,3,8,10,11,12,13,14,15,16,18,20,24,26,	834	seed=23
14	0,1,2,3,4,6,9,11,12,18,19,23,24,26,	808	seed=24
14	4,5,6,11,15,18,19,20,21,22,23,24,25,26,	846	seed=25
