m	skills	qno	seed				
6	4,11,37,45,53,56,	1635	54				
6	23,37,45,46,47,57,	2648	55				
6	4,5,16,25,45,57,	2219	56				
6	3,7,10,45,54,55,	940	57				
6	2,13,22,34,44,54,	2329	58				
6	23,25,45,48,53,56,	3642	59				
6	6,9,10,22,45,53,	2472	60				
6	4,9,18,44,45,56,	743	61				
6	6,22,26,30,35,39,	2570	62				
6	14,16,32,33,37,45,	1092	63				
6	4,5,15,16,46,55,	1012	64				
6	8,24,38,41,52,56,	2741	65				
6	21,24,32,34,40,41,	2753	66				
6	2,8,11,21,37,43,	1219	67				
6	23,28,43,47,49,51,	636	68				
6	13,24,41,42,43,54,	1309	69				
6	17,20,32,39,44,49,	769	70				
6	4,11,23,31,41,53,	1431	71				
6	25,31,32,40,46,56,	958	72				
6	7,9,19,30,43,46,	1301	73				
6	2,8,23,46,53,56,	1648	74				
6	2,5,6,7,20,38,	2373	75				
6	2,5,16,19,30,32,	1638	76				
6	9,12,31,45,47,52,	2238	77				
6	0,6,13,15,44,54,	2350	78				
6	8,10,21,26,39,51,	2080	79				
6	9,34,41,44,50,51,	2410	80				
6	2,42,43,48,54,55,	3430	81				
6	16,21,32,37,47,55,	1227	82				
6	0,2,12,14,17,32,	2939	83				
6	1,13,32,35,39,42,	2122	84				
6	6,8,20,28,44,57,	2460	85				
6	9,12,17,22,25,35,	1548	86				
6	3,5,17,21,35,57,	2248	87				
6	15,18,19,20,32,57,	2200	88				
6	11,13,19,24,30,32,	1787	89				
6	6,15,17,19,49,55,	1114	90				
6	9,26,32,38,42,53,	3082	91				
6	2,4,9,25,26,56,	2021	92				
6	2,20,21,34,40,56,	2683	93				
6	7,20,21,43,49,50,	733	94				
6	26,30,40,43,49,55,	2079	95				
6	3,16,18,27,29,56,	1187	96				
6	8,30,32,34,37,54,	2645	97				
6	0,2,10,35,42,53,	3334	98				
6	7,21,41,48,51,55,	3122	99				
6	7,8,19,20,41,44,	582	100				
8	8,9,15,23,38,44,46,52,	2349	1				
8	6,30,31,33,37,46,54,55,	2029	2				
8	0,7,9,19,25,36,49,50,	2925	3				
8	0,4,16,18,20,29,37,56,	2752	4				
8	11,13,19,21,23,26,41,57,	3188	5				
8	1,2,15,35,36,37,46,50,	3216	6				
8	10,24,32,41,46,48,51,55,	4397	7				
8	3,13,19,26,33,46,50,54,	1492	8				
8	7,18,32,37,39,45,47,57,	2727	9				
8	0,6,8,23,24,37,39,53,	3890	10				
8	15,16,34,35,36,48,49,57,	6168	11				
8	14,21,28,30,34,43,46,50,	2923	12				
8	13,23,38,39,46,50,56,57,	3629	13				
8	11,22,27,28,32,43,47,57,	2914	14				
8	1,2,8,9,18,20,22,23,	2620	15				
8	1,18,20,21,28,47,53,57,	4257	16				
8	1,12,25,31,32,37,42,48,	5214	17				
8	2,4,17,18,36,47,48,50,	4317	18				
8	8,11,12,13,34,41,45,47,	2844	19				
8	10,11,24,29,31,46,47,52,	3045	20				
8	0,1,7,10,34,49,50,53,	5178	21				
8	8,16,18,20,23,24,39,55,	1835	22				
8	2,9,11,18,26,32,35,54,	2093	23				
8	12,16,25,35,44,46,47,50,	1625	24				
8	0,9,37,38,47,52,53,57,	5686	25				
8	3,12,13,29,31,38,45,49,	2128	26				
8	2,8,24,28,30,38,39,44,	3047	27				
8	1,23,36,38,39,42,51,52,	3916	28				
8	13,17,25,26,35,44,52,53,	2630	29				
8	0,11,14,18,21,42,46,50,	2571	30				
8	0,2,12,24,34,43,54,55,	4522	31				
8	9,14,18,33,36,42,43,53,	2209	32				
8	3,18,22,23,27,28,30,45,	1537	33				
8	10,12,20,24,26,29,46,47,	3703	34				
8	5,17,22,23,30,33,48,53,	4348	35				
8	11,21,34,35,36,38,44,53,	3614	36				
8	13,15,28,29,31,33,38,50,	1961	37				
8	4,8,16,31,34,40,47,56,	2862	38				
8	0,2,10,12,26,50,52,54,	4567	39				
8	10,11,13,14,23,26,33,42,	2503	40				
8	0,5,21,34,42,51,53,56,	3864	41				
8	9,14,31,37,41,44,50,52,	2469	42				
8	0,11,25,30,44,45,47,56,	2913	43				
8	7,16,23,26,33,38,45,56,	2536	44				
8	9,10,23,36,43,52,53,55,	3170	45				
8	1,25,33,39,41,42,52,53,	3332	46				
8	13,22,26,29,39,42,44,53,	2461	47				
8	22,27,28,34,35,38,40,57,	4847	48				
8	13,15,33,34,41,43,46,51,	2197	49				
8	0,1,18,27,34,40,42,57,	6007	50				
8	5,11,22,24,43,44,53,56,	2480	51				
8	11,26,30,41,43,46,54,57,	3604	52				
8	4,7,10,18,22,31,45,50,	1515	53				
8	4,11,25,34,37,45,53,56,	2797	54				
8	10,23,37,45,46,47,48,57,	5466	55				
8	4,5,16,24,25,45,54,57,	2909	56				
8	3,7,10,11,38,45,54,55,	2021	57				
8	2,13,22,34,44,52,54,57,	4404	58				
8	23,25,36,40,45,48,53,56,	4379	59				
8	6,9,10,22,45,47,49,53,	2807	60				
8	4,9,18,32,34,44,45,56,	2314	61				
8	6,19,22,26,30,35,39,52,	3233	62				
8	5,14,16,32,33,36,37,45,	1964	63				
8	4,5,15,16,24,28,46,55,	1786	64				
8	8,12,24,34,38,41,52,56,	4557	65				
8	21,24,25,28,32,34,40,41,	2790	66				
8	2,8,11,21,37,39,42,43,	1590	67				
8	15,23,28,43,47,49,51,54,	863	68				
8	13,24,28,37,41,42,43,54,	1735	69				
8	17,19,20,32,39,44,49,56,	1092	70				
8	4,10,11,23,31,34,41,53,	3185	71				
8	19,25,31,32,39,40,46,56,	1282	72				
8	6,7,9,19,25,30,43,46,	1785	73				
8	2,8,23,24,41,46,53,56,	2495	74				
8	2,5,6,7,12,20,30,38,	3437	75				
8	2,5,16,19,23,30,32,37,	2118	76				
8	9,12,18,31,33,45,47,52,	2249	77				
8	0,6,13,15,36,44,50,54,	3134	78				
8	8,10,20,21,26,36,39,51,	2849	79				
8	9,34,36,41,44,46,50,51,	3038	80				
8	2,28,42,43,48,49,54,55,	3477	81				
8	8,16,21,32,37,47,50,55,	1433	82				
8	0,2,12,14,17,32,36,53,	3924	83				
8	1,6,13,32,35,39,42,43,	2559	84				
8	6,8,20,25,28,44,49,57,	2515	85				
8	9,12,17,22,25,35,38,46,	2533	86				
8	3,5,17,21,23,30,35,57,	2888	87				
8	15,18,19,20,32,34,37,57,	3927	88				
8	11,13,18,19,24,30,32,49,	1831	89				
8	3,6,15,17,19,38,49,55,	2082	90				
8	9,21,26,32,38,42,47,53,	3391	91				
8	1,2,4,9,25,26,32,56,	3130	92				
8	2,20,21,34,40,42,44,56,	2775	93				
8	7,20,21,30,32,43,49,50,	1342	94				
8	14,26,30,40,43,44,49,55,	2422	95				
8	3,16,18,27,29,33,37,56,	1571	96				
8	8,16,20,30,32,34,37,54,	3039	97				
8	0,2,10,34,35,39,42,53,	4435	98				
8	7,18,21,41,48,50,51,55,	3342	99				
8	4,7,8,19,20,28,41,44,	605	100				
10	8,9,15,16,23,32,38,44,46,52,	2585	1				
10	6,11,30,31,33,37,46,53,54,55,	2804	2				
10	0,7,9,12,19,25,33,36,49,50,	3398	3				
10	0,4,14,16,18,20,21,29,37,56,	3081	4				
10	11,13,19,21,23,26,28,40,41,57,	3451	5				
10	1,2,15,33,35,36,37,46,47,50,	3429	6				
10	0,10,24,32,41,46,48,51,55,56,	5651	7				
10	3,4,13,19,26,33,41,46,50,54,	1661	8				
10	3,7,14,18,32,37,39,45,47,57,	3030	9				
10	0,2,6,8,23,24,36,37,39,53,	4582	10				
10	15,16,20,34,35,36,48,49,50,57,	6447	11				
10	1,14,21,28,30,34,43,46,50,54,	4183	12				
10	6,13,20,23,38,39,46,50,56,57,	4211	13				
10	11,22,23,27,28,29,32,43,47,57,	3127	14				
10	1,2,8,9,18,20,22,23,42,47,	2947	15				
10	0,1,18,20,21,24,28,47,53,57,	5783	16				
10	1,12,14,25,31,32,37,42,44,48,	5498	17				
10	2,4,17,18,32,36,44,47,48,50,	4328	18				
10	2,8,11,12,13,34,41,45,47,48,	5478	19				
10	10,11,24,29,31,44,46,47,50,52,	3274	20				
10	0,1,5,7,10,12,34,49,50,53,	5745	21				
10	4,8,16,18,20,23,24,27,39,55,	2263	22				
10	2,9,11,18,26,27,32,35,38,54,	3426	23				
10	10,12,16,25,35,38,44,46,47,50,	3054	24				
10	0,9,29,37,38,47,51,52,53,57,	5796	25				
10	3,12,13,16,28,29,31,38,45,49,	2347	26				
10	2,8,24,27,28,30,38,39,44,50,	3659	27				
10	1,23,29,33,36,38,39,42,51,52,	4043	28				
10	13,17,25,26,35,42,44,49,52,53,	2743	29				
10	0,7,11,14,18,21,42,46,50,53,	3152	30				
10	0,2,12,15,19,24,34,43,54,55,	4688	31				
10	6,9,14,18,33,36,42,43,53,56,	2847	32				
10	3,16,17,18,22,23,27,28,30,45,	1889	33				
10	10,12,14,20,24,26,29,41,46,47,	4131	34				
10	5,17,22,23,30,33,35,48,53,54,	4444	35				
10	11,18,21,34,35,36,38,44,53,55,	3735	36				
10	9,13,15,28,29,31,33,38,43,50,	2377	37				
10	4,8,16,31,32,34,38,40,47,56,	3682	38				
10	0,1,2,10,12,26,43,50,52,54,	5518	39				
10	10,11,13,14,23,26,33,39,42,49,	2780	40				
10	0,1,3,5,21,34,42,51,53,56,	4991	41				
10	3,9,14,21,31,37,41,44,50,52,	2520	42				
10	0,11,22,25,30,35,44,45,47,56,	3205	43				
10	3,7,16,23,26,33,37,38,45,56,	2895	44				
10	9,10,22,23,36,43,49,52,53,55,	3437	45				
10	1,13,20,25,33,39,41,42,52,53,	3568	46				
10	13,22,24,26,29,39,41,42,44,53,	3271	47				
10	21,22,27,28,34,35,38,40,44,57,	4888	48				
10	13,15,33,34,41,43,44,46,51,55,	2341	49				
10	0,1,18,19,27,34,40,42,44,57,	6048	50				
10	4,5,11,22,24,32,43,44,53,56,	2493	51				
10	11,26,30,34,41,43,46,48,54,57,	6855	52				
10	4,7,10,12,18,22,31,45,47,50,	2416	53				
10	4,7,10,11,25,34,37,45,53,56,	3413	54				
10	10,20,23,27,37,45,46,47,48,57,	5959	55				
10	4,5,14,16,24,25,27,45,54,57,	3545	56				
10	3,7,10,11,33,36,38,45,54,55,	2673	57				
10	0,2,13,22,30,34,44,52,54,57,	5844	58				
10	12,23,25,36,40,45,48,51,53,56,	4860	59				
10	6,9,10,16,22,32,45,47,49,53,	3012	60				
10	4,9,18,28,32,34,44,45,52,56,	2906	61				
10	6,19,22,26,30,35,39,48,50,52,	5682	62				
10	3,5,11,14,16,32,33,36,37,45,	2170	63				
10	0,4,5,15,16,24,28,46,51,55,	3195	64				
10	4,8,12,20,24,34,38,41,52,56,	4750	65				
10	14,21,23,24,25,28,32,34,40,41,	3167	66				
10	2,8,11,21,35,36,37,39,42,43,	2263	67				
10	15,16,23,28,38,43,47,49,51,54,	2022	68				
10	13,24,28,35,37,41,42,43,54,55,	1949	69				
10	15,17,19,20,32,39,40,44,49,56,	1509	70				
10	2,4,10,11,23,29,31,34,41,53,	3650	71				
10	19,25,30,31,32,39,40,41,46,56,	1992	72				
10	3,6,7,9,19,25,30,43,45,46,	1820	73				
10	0,2,8,9,23,24,41,46,53,56,	4002	74				
10	2,5,6,7,12,20,22,24,30,38,	4310	75				
10	2,5,7,16,19,23,24,30,32,37,	2869	76				
10	9,12,18,26,31,33,36,45,47,52,	3699	77				
10	0,6,13,15,24,36,44,50,54,56,	3932	78				
10	8,10,12,20,21,26,36,39,45,51,	3380	79				
10	9,24,26,34,36,41,44,46,50,51,	4367	80				
10	2,28,37,42,43,45,48,49,54,55,	3842	81				
10	3,8,16,21,32,37,44,47,50,55,	1454	82				
10	0,2,8,12,14,17,18,32,36,53,	3961	83				
10	1,6,13,19,32,35,39,42,43,52,	3159	84				
10	6,8,13,20,25,28,33,44,49,57,	2602	85				
10	9,10,12,17,22,25,35,38,46,55,	3190	86				
10	3,5,8,17,21,23,30,33,35,57,	2935	87				
10	9,10,15,18,19,20,32,34,37,57,	4816	88				
10	11,13,18,19,23,24,30,32,34,49,	3266	89				
10	3,6,15,17,19,28,38,44,49,55,	2095	90				
10	9,21,26,32,38,42,47,48,53,56,	5908	91				
10	1,2,3,4,9,25,26,32,37,56,	3433	92				
10	2,13,20,21,34,40,42,44,54,56,	2853	93				
10	7,20,21,30,32,36,43,49,50,52,	2580	94				
10	12,14,26,30,40,43,44,47,49,55,	3279	95				
10	3,16,18,27,29,33,37,38,54,56,	2466	96				
10	8,15,16,20,30,32,34,37,48,54,	5481	97				
10	0,2,10,13,20,34,35,39,42,53,	4627	98				
10	7,18,21,23,38,41,48,50,51,55,	4333	99				
10	4,7,8,19,20,22,28,29,41,44,	1025	100				
12	8,9,15,16,23,30,32,38,44,46,52,54,	3179	1				
12	6,11,16,25,30,31,33,37,46,53,54,55,	3016	2				
12	0,7,9,12,19,25,33,36,41,49,50,56,	3722	3				
12	0,4,14,16,18,20,21,27,29,37,48,56,	5660	4				
12	11,13,15,19,21,23,26,28,30,40,41,57,	4109	5				
12	1,2,15,21,31,33,35,36,37,46,47,50,	3688	6				
12	0,1,10,18,24,32,41,46,48,51,55,56,	6707	7				
12	3,4,13,19,22,26,33,41,42,46,50,54,	1960	8				
12	3,7,12,14,18,32,37,39,45,46,47,57,	3582	9				
12	0,2,6,8,23,24,36,37,39,45,52,53,	5118	10				
12	11,14,15,16,20,34,35,36,48,49,50,57,	6786	11				
12	1,14,21,28,30,34,36,38,43,46,50,54,	5365	12				
12	4,6,13,20,23,32,38,39,46,50,56,57,	4220	13				
12	9,11,22,23,27,28,29,32,40,43,47,57,	3699	14				
12	1,2,8,9,12,17,18,20,22,23,42,47,	3612	15				
12	0,1,13,17,18,20,21,24,28,47,53,57,	5922	16				
12	1,12,14,25,31,32,37,38,42,44,46,48,	6285	17				
12	2,4,17,18,32,36,42,44,47,48,50,53,	4836	18				
12	2,8,11,12,13,34,41,45,46,47,48,50,	5724	19				
12	10,11,12,24,29,30,31,44,46,47,50,52,	4306	20				
12	0,1,5,7,10,12,34,36,41,49,50,53,	6228	21				
12	4,8,14,16,18,20,23,24,27,39,43,55,	2642	22				
12	2,7,9,11,18,26,27,32,35,38,45,54,	3474	23				
12	6,10,12,16,25,28,35,38,44,46,47,50,	3464	24				
12	0,4,9,29,37,38,47,50,51,52,53,57,	5964	25				
12	1,3,10,12,13,16,28,29,31,38,45,49,	4165	26				
12	2,8,23,24,27,28,30,38,39,40,44,50,	3923	27				
12	1,23,26,29,33,36,38,39,42,47,51,52,	4972	28				
12	10,13,17,25,26,35,42,44,49,52,53,57,	4762	29				
12	0,7,11,14,18,20,21,33,42,46,50,53,	3338	30				
12	0,2,3,12,15,19,24,25,34,43,54,55,	4710	31				
12	6,8,9,14,18,29,33,36,42,43,53,56,	3011	32				
12	3,5,16,17,18,22,23,27,28,30,45,54,	2160	33				
12	1,10,11,12,14,20,24,26,29,41,46,47,	5381	34				
12	5,17,22,23,25,30,33,35,40,48,53,54,	4708	35				
12	11,18,21,28,34,35,36,38,44,47,53,55,	3952	36				
12	0,9,12,13,15,28,29,31,33,38,43,50,	4125	37				
12	4,8,16,19,30,31,32,34,38,40,47,56,	4259	38				
12	0,1,2,5,10,12,24,26,43,50,52,54,	6238	39				
12	6,10,11,13,14,23,26,28,33,39,42,49,	3190	40				
12	0,1,3,5,13,21,34,42,51,53,54,56,	5054	41				
12	3,9,14,17,21,28,31,37,41,44,50,52,	2644	42				
12	0,11,22,25,30,35,40,44,45,47,55,56,	3534	43				
12	3,5,7,16,23,26,33,37,38,45,48,56,	5557	44				
12	9,10,16,22,23,28,36,43,49,52,53,55,	3633	45				
12	1,13,20,22,25,33,34,39,41,42,52,53,	4679	46				
12	0,13,18,22,24,26,29,39,41,42,44,53,	4462	47				
12	1,21,22,27,28,34,35,38,40,44,56,57,	6121	48				
12	2,13,15,26,33,34,41,43,44,46,51,55,	3496	49				
12	0,1,5,10,18,19,27,34,40,42,44,57,	6642	50				
12	4,5,11,22,24,30,32,33,43,44,53,56,	3027	51				
12	11,26,30,34,41,43,46,48,52,53,54,57,	7626	52				
12	4,7,10,12,18,22,23,27,31,45,47,50,	2895	53				
12	4,7,10,11,25,27,34,37,45,53,56,57,	5121	54				
12	10,20,23,25,27,37,45,46,47,48,51,57,	6003	55				
12	4,5,14,15,16,19,24,25,27,45,54,57,	3736	56				
12	3,7,10,11,33,36,37,38,45,46,54,55,	3102	57				
12	0,2,13,22,30,34,43,44,50,52,54,57,	6052	58				
12	12,23,25,36,40,44,45,46,48,51,53,56,	4952	59				
12	6,9,10,14,16,22,31,32,45,47,49,53,	3500	60				
12	4,9,18,28,32,34,36,40,44,45,52,56,	3622	61				
12	6,14,19,22,26,30,35,39,42,48,50,52,	5996	62				
12	3,5,9,11,14,16,32,33,36,37,45,46,	2612	63				
12	0,4,5,15,16,17,21,24,28,46,51,55,	3346	64				
12	4,8,12,20,24,34,38,39,41,47,52,56,	5110	65				
12	14,21,23,24,25,28,32,34,40,41,47,54,	3426	66				
12	2,8,11,21,35,36,37,39,42,43,50,51,	2496	67				
12	12,15,16,23,28,31,38,43,47,49,51,54,	2812	68				
12	13,24,28,33,35,37,40,41,42,43,54,55,	2175	69				
12	13,15,17,19,20,32,39,40,42,44,49,56,	1704	70				
12	2,4,9,10,11,23,29,31,34,41,46,53,	4035	71				
12	8,19,25,27,30,31,32,39,40,41,46,56,	2494	72				
12	3,6,7,8,9,19,25,30,43,45,46,55,	1983	73				
12	0,2,4,8,9,15,23,24,41,46,53,56,	4150	74				
12	2,5,6,7,12,20,22,24,30,31,38,43,	4557	75				
12	2,5,7,16,19,23,24,30,32,34,37,50,	4265	76				
12	1,9,12,13,18,26,31,33,36,45,47,52,	4857	77				
12	0,6,13,15,20,24,33,36,44,50,54,56,	4087	78				
12	3,8,10,12,20,21,25,26,36,39,45,51,	3413	79				
12	9,19,24,26,34,36,41,42,44,46,50,51,	4465	80				
12	2,11,28,37,41,42,43,45,48,49,54,55,	4169	81				
12	3,8,16,21,32,37,43,44,47,50,52,55,	2126	82				
12	0,2,8,12,14,17,18,19,32,36,53,57,	5196	83				
12	1,6,13,19,32,35,37,39,40,42,43,52,	3586	84				
12	6,8,13,20,25,28,33,35,44,45,49,57,	2700	85				
12	9,10,12,17,22,25,35,38,41,46,51,55,	3346	86				
12	3,5,8,12,16,17,21,23,30,33,35,57,	3588	87				
12	1,9,10,15,18,19,20,32,34,37,56,57,	6064	88				
12	3,11,13,18,19,23,24,30,32,33,34,49,	3275	89				
12	3,4,6,10,15,17,19,28,38,44,49,55,	2650	90				
12	9,21,26,29,31,32,38,42,47,48,53,56,	6195	91				
12	1,2,3,4,9,25,26,32,37,54,55,56,	3553	92				
12	2,13,19,20,21,25,34,40,42,44,54,56,	2922	93				
12	0,7,20,21,26,30,32,36,43,49,50,52,	4541	94				
12	12,14,24,26,30,40,43,44,47,49,51,55,	3964	95				
12	2,3,16,18,27,29,33,37,38,40,54,56,	3021	96				
12	3,8,15,16,20,30,31,32,34,37,48,54,	5659	97				
12	0,2,6,10,12,13,20,34,35,39,42,53,	5341	98				
12	7,18,21,23,31,32,38,41,48,50,51,55,	4555	99				
12	4,7,8,19,20,22,28,29,41,44,56,57,	2895	100				
14	8,9,15,16,22,23,30,32,38,44,46,51,52,54,	3413	1				
14	6,11,16,25,26,30,31,33,37,46,49,53,54,55,	3811	2				
14	0,7,9,12,19,24,25,33,36,41,49,50,56,57,	5491	3				
14	0,4,10,14,16,18,20,21,27,29,37,46,48,56,	6198	4				
14	11,13,15,18,19,21,23,26,28,30,34,40,41,57,	5304	5				
14	1,2,14,15,21,31,33,35,36,37,46,47,48,50,	6260	6				
14	0,1,10,18,20,24,32,36,41,46,48,51,55,56,	7219	7				
14	3,4,13,19,22,26,33,39,41,42,46,48,50,54,	4615	8				
14	3,7,12,14,17,18,21,32,37,39,45,46,47,57,	3723	9				
14	0,2,5,6,8,23,24,36,37,39,43,45,52,53,	5350	10				
14	11,14,15,16,18,20,26,34,35,36,48,49,50,57,	7384	11				
14	1,14,21,28,30,34,35,36,38,43,46,48,50,54,	7489	12				
14	4,6,9,13,14,20,23,32,38,39,46,50,56,57,	4750	13				
14	9,11,22,23,27,28,29,32,40,43,44,47,50,57,	3891	14				
14	1,2,8,9,12,16,17,18,19,20,22,23,42,47,	3826	15				
14	0,1,13,17,18,19,20,21,24,28,47,52,53,57,	6412	16				
14	1,12,14,24,25,31,32,37,38,42,44,46,48,50,	6957	17				
14	2,4,17,18,29,32,36,42,44,47,48,50,53,55,	5050	18				
14	2,8,11,12,13,27,34,41,45,46,47,48,50,55,	6109	19				
14	0,5,10,11,12,24,29,30,31,44,46,47,50,52,	5465	20				
14	0,1,5,7,10,12,25,29,34,36,41,49,50,53,	6336	21				
14	4,8,12,14,16,18,20,23,24,27,39,43,52,55,	3718	22				
14	2,7,9,11,18,25,26,27,32,35,38,43,45,54,	3544	23				
14	6,10,12,16,25,28,35,38,44,46,47,50,54,56,	3684	24				
14	0,4,9,16,20,29,37,38,47,50,51,52,53,57,	6228	25				
14	0,1,3,10,12,13,16,28,29,31,38,45,49,57,	6449	26				
14	2,8,19,20,23,24,27,28,30,38,39,40,44,50,	4130	27				
14	1,23,26,29,30,33,36,38,39,42,47,51,52,53,	5928	28				
14	4,10,13,16,17,25,26,35,42,44,49,52,53,57,	4895	29				
14	0,7,11,14,18,20,21,33,42,46,47,50,53,54,	3622	30				
14	0,2,3,12,13,15,19,22,24,25,34,43,54,55,	4938	31				
14	6,8,9,14,18,27,29,33,36,40,42,43,53,56,	3597	32				
14	3,5,6,16,17,18,22,23,27,28,30,45,51,54,	2622	33				
14	1,10,11,12,14,20,24,26,29,36,41,43,46,47,	5814	34				
14	5,6,17,22,23,25,30,33,35,40,48,53,54,57,	6213	35				
14	7,11,18,21,28,33,34,35,36,38,44,47,53,55,	3983	36				
14	0,2,9,12,13,15,28,29,31,33,38,41,43,50,	4525	37				
14	4,8,14,16,19,30,31,32,34,38,39,40,47,56,	4703	38				
14	0,1,2,5,7,10,12,24,26,43,44,50,52,54,	6263	39				
14	6,10,11,13,14,23,26,28,33,34,39,42,49,56,	4609	40				
14	0,1,3,5,10,13,20,21,34,42,51,53,54,56,	5598	41				
