m,seed,qno,req_skills,obj_value_simple,obj_value_BB,team_simple,team_BB,simple_time,BB_time
10,9,584,"[0, 1, 9, 11, 12, 17, 18, 20, 22, 25]",13.705,13.705,"[20, 98, 249]","[20, 98, 249]",48.93552994728088,3.135223627090454
10,10,572,"[0, 4, 7, 10, 11, 15, 16, 20, 21, 23]",10.748,10.748,"[1, 42, 61, 214]","[1, 42, 61, 214]",71.14548802375793,9.204724311828612
10,11,761,"[0, 4, 6, 7, 8, 10, 12, 13, 20, 26]",5.896,5.896,"[135, 497, 648]","[135, 497, 648]",126.1760959625244,8.612301349639893
10,13,779,"[0, 1, 4, 5, 6, 13, 16, 18, 21, 25]",14.686,14.686,"[18, 332, 553]","[18, 332, 553]",102.6755702495575,5.0485382080078125
10,14,818,"[2, 4, 5, 7, 16, 17, 19, 20, 25, 26]",7.763,7.763,"[19, 119, 264]","[19, 119, 264]",134.12533688545227,5.863612651824951
10,15,581,"[0, 3, 4, 13, 14, 15, 16, 17, 18, 24]",4.694,4.694,"[18, 169, 459]","[18, 169, 459]",43.49497437477112,3.9834024906158447
10,16,635,"[0, 2, 3, 11, 13, 14, 15, 18, 19, 20]",3.331,3.331,"[95, 619]","[95, 619]",60.27820944786072,4.05961275100708
10,17,741,"[0, 1, 3, 8, 14, 15, 19, 20, 22, 25]",10.827,10.827,"[305, 402, 716]","[305, 402, 716]",101.91368246078493,5.041606187820435
10,18,614,"[0, 2, 4, 7, 12, 14, 15, 18, 20, 23]",4.931,4.931,"[50, 70, 394]","[50, 70, 394]",59.1354546546936,3.9824295043945312
10,19,756,"[0, 3, 6, 7, 12, 14, 17, 19, 23, 25]",5.611999999999999,5.612,"[126, 617, 623, 744]","[126, 617, 623, 744]",126.2604751586914,10.872925281524658
10,20,788,"[1, 2, 6, 7, 8, 10, 15, 17, 19, 22]",9.826,9.826,"[148, 332, 677]","[148, 332, 677]",144.15385031700134,8.445470571517944
10,21,449,"[11, 12, 15, 16, 17, 18, 20, 21, 22, 25]",10.682,10.682,"[19, 84, 128]","[19, 84, 128]",23.392672538757324,4.629912853240967
10,22,895,"[2, 5, 6, 8, 11, 13, 16, 18, 24, 25]",1.834,1.834,"[486, 492]","[486, 492]",245.67437267303467,6.89824366569519
10,23,769,"[8, 10, 11, 12, 13, 14, 16, 18, 20, 24]",1.875,1.875,"[26, 88]","[26, 88]",135.3989896774292,7.127172946929932
10,24,759,"[0, 1, 2, 6, 9, 11, 18, 19, 23, 24]",9.721,9.721,"[143, 201, 321]","[143, 201, 321]",130.93327140808103,59.23816275596619
10,25,775,"[4, 5, 15, 18, 19, 20, 21, 23, 25, 26]",17.253000000000004,17.253,"[16, 213, 335, 636]","[16, 213, 335, 636]",165.0095558166504,10.487412452697754
10,26,886,"[0, 5, 6, 7, 9, 15, 18, 20, 24, 26]",4.915,4.915,"[64, 96, 157]","[64, 96, 157]",240.8146810531616,6.149856328964233
10,27,787,"[6, 7, 9, 12, 16, 18, 19, 23, 24, 26]",5.944,5.944,"[58, 140, 735]","[58, 140, 735]",110.81845664978027,8.834306001663208
10,28,597,"[0, 2, 6, 11, 12, 16, 17, 18, 21, 22]",5.912,5.912,"[464, 517, 524]","[464, 517, 524]",48.172595500946045,8.295868873596191
10,29,773,"[0, 3, 8, 10, 12, 21, 22, 23, 25, 26]",15.635,15.635,"[27, 55, 82, 138, 264]","[27, 55, 82, 138, 264]",116.78927159309389,7.433457136154175
10,30,698,"[2, 4, 6, 7, 12, 13, 16, 18, 19, 20]",2.962,2.962,"[167, 451]","[167, 451]",101.18482756614684,5.033696889877319
12,1,858,"[0, 1, 4, 5, 9, 10, 11, 14, 16, 18, 23, 24]",11.739,11.739,"[23, 310, 367]","[23, 310, 367]",413.2115046977997,29.67456150054932
12,2,605,"[0, 1, 3, 6, 10, 12, 14, 16, 21, 22, 25, 26]",33.389,33.389,"[21, 102, 267, 336, 528]","[21, 102, 267, 336, 528]",110.93184995651244,124.75220704078674
12,3,897,"[2, 3, 5, 8, 10, 12, 15, 16, 17, 20, 21, 23]",8.785,8.785,"[68, 802, 868]","[68, 802, 868]",398.69522643089294,27.833244562149048
12,4,862,"[3, 6, 7, 8, 12, 17, 18, 19, 21, 22, 24, 26]",13.733,13.733,"[56, 290, 678, 693]","[56, 290, 678, 693]",416.34362387657166,46.62017154693604
12,5,773,"[0, 1, 2, 6, 8, 9, 15, 17, 20, 21, 25, 26]",26.32,26.32,"[12, 125, 323, 547]","[12, 125, 323, 547]",280.90370416641235,27.07198715209961
12,6,760,"[0, 4, 5, 6, 13, 15, 16, 17, 20, 22, 25, 26]",14.486,14.486,"[0, 13, 344, 610]","[0, 13, 344, 610]",225.96773314476013,56.61600637435913
12,7,865,"[4, 5, 8, 10, 11, 12, 14, 15, 20, 24, 25, 26]",8.585,8.585,"[1, 18, 143, 388]","[1, 18, 143, 388]",339.74000120162964,29.72304344177246
12,8,783,"[1, 6, 8, 10, 11, 13, 14, 15, 19, 22, 23, 24]",10.857,10.857,"[147, 329, 627]","[147, 329, 627]",259.667484998703,7.582418203353882
12,9,866,"[0, 1, 7, 8, 9, 11, 12, 17, 18, 20, 22, 25]",13.705,13.705,"[29, 146, 366]","[29, 146, 366]",376.0241265296936,22.087358713150024
12,10,614,"[0, 4, 7, 10, 11, 12, 15, 16, 18, 20, 21, 23]",10.892,10.892,"[1, 80, 425]","[1, 80, 425]",143.7687442302704,14.013578653335571
14,1,867,"[0, 1, 4, 5, 9, 10, 11, 12, 14, 15, 16, 18, 23, 24]",15.162,15.162,"[118, 161, 372, 859]","[118, 161, 372, 859]",175.97427320480347,36.01189923286438
14,2,803,"[0, 1, 3, 6, 8, 10, 12, 14, 16, 19, 21, 22, 25, 26]",35.355000000000004,35.355000000000004,"[140, 340, 342, 350, 706]","[140, 340, 342, 350, 706]",128.4560990333557,136.61650824546814
14,3,901,"[2, 3, 4, 5, 8, 10, 12, 15, 16, 17, 20, 21, 23, 25]",10.843,10.843,"[0, 59, 92, 562]","[0, 59, 92, 562]",226.3848705291748,10.829105615615845
14,4,875,"[2, 3, 4, 6, 7, 8, 12, 17, 18, 19, 21, 22, 24, 26]",14.76,14.760000000000002,"[57, 293, 457, 698]","[57, 293, 457, 698]",284.8981337547302,13.74956202507019
14,5,780,"[0, 1, 2, 6, 8, 9, 10, 13, 15, 17, 20, 21, 25, 26]",26.605,26.605,"[134, 136, 247, 326, 421]","[134, 136, 247, 326, 421]",149.11649870872498,6.4612438678741455
14,6,783,"[0, 4, 5, 6, 13, 14, 15, 16, 17, 20, 21, 22, 25, 26]",21.386,21.386000000000003,"[13, 17, 558, 629]","[13, 17, 558, 629]",183.15708565711972,8.406098365783691
14,7,895,"[3, 4, 5, 8, 10, 11, 12, 14, 15, 20, 21, 24, 25, 26]",14.732,14.732,"[1, 87, 259, 294]","[1, 87, 259, 294]",271.6018817424774,13.341550588607788
14,8,855,"[1, 2, 3, 6, 8, 10, 11, 13, 14, 15, 19, 22, 23, 24]",18.626,18.626,"[239, 356, 545, 677]","[239, 356, 545, 677]",256.16361904144287,297.02813720703125
14,9,892,"[0, 1, 3, 7, 8, 9, 10, 11, 12, 17, 18, 20, 22, 25]",13.705,13.705,"[31, 153, 379]","[31, 153, 379]",286.241854429245,10.708078384399414
14,10,729,"[0, 4, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 23]",12.795000000000002,12.795000000000002,"[1, 47, 72, 569]","[1, 47, 72, 569]",2634.1072821617126,8.283742666244507
16,1,871,"[0, 1, 4, 5, 9, 10, 11, 12, 14, 15, 16, 18, 22, 23, 24, 26]",22.669,22.669,"[1, 152, 373, 695]","[1, 152, 373, 695]",220.37830996513367,16.519390106201172
16,2,878,"[0, 1, 3, 6, 8, 9, 10, 12, 14, 16, 18, 19, 21, 22, 25, 26]",35.355,35.355,"[157, 373, 376, 384, 770]","[157, 373, 376, 384, 770]",284.76553678512573,181.55180478096008
16,3,910,"[2, 3, 4, 5, 8, 10, 12, 15, 16, 17, 20, 21, 22, 23, 25, 26]",22.647,22.647,"[0, 60, 93, 303, 727]","[0, 60, 93, 303, 727]",320.8842525482178,17.28502058982849
16,4,887,"[0, 2, 3, 4, 6, 7, 8, 12, 16, 17, 18, 19, 21, 22, 24, 26]",14.760000000000002,14.760000000000002,"[57, 296, 462, 708]","[57, 296, 462, 708]",311.7362277507782,9.143902063369753
16,5,894,"[0, 1, 2, 6, 7, 8, 9, 10, 13, 15, 17, 20, 21, 23, 25, 26]",30.613,30.613,"[160, 292, 380, 484, 764]","[160, 292, 380, 484, 764]",336.37373971939087,21.73999929428101
16,6,794,"[0, 1, 4, 5, 6, 11, 13, 14, 15, 16, 17, 20, 21, 22, 25, 26]",43.102,43.102,"[14, 18, 338, 566, 637]","[14, 18, 338, 566, 637]",224.2690188884735,23.120007753372192
16,7,903,"[1, 3, 4, 5, 8, 10, 11, 12, 14, 15, 20, 21, 22, 24, 25, 26]",40.039,40.03899999999999,"[26, 262, 298, 383, 606]","[26, 262, 298, 383, 606]",276.0414664745331,61.01955461502075
16,8,871,"[0, 1, 2, 3, 4, 6, 8, 10, 11, 13, 14, 15, 19, 22, 23, 24]",19.544,19.544,"[26, 243, 365, 690]","[26, 243, 365, 690]",284.9333333969116,14.282629251480104
16,9,983,"[0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 22, 25]",13.705,13.705,"[33, 168, 416]","[33, 168, 416]",467.9730970859528,16.415393590927124
16,10,733,"[0, 1, 4, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 23, 25]",29.699,29.699,"[1, 47, 72, 315, 453]","[1, 47, 72, 315, 453]",125.75793504714966,34.74146866798401
18,1,908,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 14, 15, 16, 18, 22, 23, 24, 26]",22.669000000000004,22.669,"[1, 163, 388, 723]","[1, 163, 388, 723]",233.2973210811615,13.71589422225952
18,2,884,"[0, 1, 3, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 21, 22, 24, 25, 26]",37.128,37.128,"[157, 375, 378, 776, 858]","[157, 375, 378, 776, 858]",200.29807114601132,128.02578282356262
18,3,945,"[1, 2, 3, 4, 5, 8, 10, 12, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26]",44.97,44.97,"[29, 312, 319, 404, 755]","[29, 312, 319, 404, 755]",329.4231307506561,255.69160199165344
18,4,891,"[0, 2, 3, 4, 6, 7, 8, 10, 12, 15, 16, 17, 18, 19, 21, 22, 24, 26]",18.583,18.583,"[20, 57, 473, 702]","[20, 57, 473, 702]",256.36209893226624,24.39966607093811
18,5,920,"[0, 1, 2, 6, 7, 8, 9, 10, 13, 14, 15, 17, 20, 21, 22, 23, 25, 26]",30.613,30.613,"[166, 301, 392, 503, 788]","[166, 301, 392, 503, 788]",325.7443995475769,19.457542419433597
18,6,854,"[0, 1, 2, 4, 5, 6, 9, 11, 13, 14, 15, 16, 17, 20, 21, 22, 25, 26]",43.102,43.102,"[15, 19, 361, 607, 678]","[15, 19, 361, 607, 678]",234.12883472442627,25.97348713874817
18,7,934,"[1, 3, 4, 5, 8, 10, 11, 12, 14, 15, 18, 19, 20, 21, 22, 24, 25, 26]",40.039,40.039,"[28, 277, 314, 400, 629]","[28, 277, 314, 400, 629]",379.17862486839294,62.37819004058838
18,8,897,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 15, 19, 22, 23, 24, 26]",33.26599999999999,33.266,"[168, 291, 371, 374, 710]","[168, 291, 371, 374, 710]",294.0507526397705,354.1109802722931
18,9,1003,"[0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 22, 23, 24, 25]",20.616000000000003,20.616,"[425, 631, 819, 879]","[425, 631, 819, 879]",448.6623356342316,123.87669634819032
18,10,928,"[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 23, 25]",29.699,29.699,"[1, 57, 89, 393, 577]","[1, 57, 89, 393, 577]",343.458713054657,53.942344188690186
20,1,914,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 24, 26]",33.266000000000005,33.266000000000005,"[174, 307, 386, 389, 727]","[174, 307, 386, 389, 727]",346.2324566841125,444.7320849895477
20,2,962,"[0, 1, 3, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 21, 22, 24, 25, 26]",37.292,37.292,"[27, 173, 409, 845, 933]","[27, 173, 409, 845, 933]",579.6998755931854,213.1992359161377
20,3,950,"[1, 2, 3, 4, 5, 8, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26]",44.97,44.96999999999999,"[30, 314, 321, 406, 758]","[30, 314, 321, 406, 758]",505.05503487586975,329.78559136390686
20,4,985,"[0, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 24, 26]",22.616,22.616,"[22, 516, 775, 883]","[22, 516, 775, 883]",738.210432767868,120.23091530799866
20,5,1002,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26]",30.613,30.613,"[183, 330, 424, 549, 862]","[183, 330, 424, 549, 862]",677.9736561775208,33.703113317489624
20,6,899,"[0, 1, 2, 4, 5, 6, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26]",43.102,43.102,"[17, 22, 383, 644, 718]","[17, 22, 383, 644, 718]",438.800274848938,19.112232208251957
20,7,950,"[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 14, 15, 18, 19, 20, 21, 22, 24, 25, 26]",40.039,40.039,"[28, 278, 315, 402, 636]","[28, 278, 315, 402, 636]",316.8839955329895,63.64719724655152
20,8,924,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 22, 23, 24, 26]",33.26599999999999,33.266000000000005,"[176, 306, 386, 389, 733]","[176, 306, 386, 389, 733]",290.50364327430725,258.7780673503876
20,9,1003,"[0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",37.182,37.182,"[30, 63, 337, 425, 802]","[30, 63, 337, 425, 802]",347.90376257896423,12.8656587600708
20,10,945,"[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 23, 25]",29.699,29.699,"[1, 59, 91, 403, 590]","[1, 59, 91, 403, 590]",288.7657542228699,16.999671459197998
